permit_number,issued_date,site_address,sub_type,work_type,contractor,description,valuation
MI303461,2026-04-28,17345 Hampton Ct,Single Family,Maintenance/Repair,Kraftmaster Restoration Llc,Reroof house and attached garage,24000
MI303462,2026-04-28,14009 Mount Ter,Single Family,Maintenance/Repair,Up On A Housetop Roofing Llc,Tear off & reroof house & attached garage,19000
MI301003,2026-04-28,6008 Stoneybrook Ct,Single Family,Remodel/Alteration,Peter R Anderson,Basement remodel project to remove brick facade from the bottom portion of two walls and the drywall,10000
MI303407,2026-04-28,5925 Carter La,Townhouse Units,Maintenance/Repair,Bei Exterior Maint,,6740
MI303408,2026-04-28,5929 Carter La,Townhouse Units,Maintenance/Repair,Bei Exterior Maint,,6740
MI303409,2026-04-28,5933 Carter La,Townhouse Units,Maintenance/Repair,Bei Exterior Maint,,6740
MI303410,2026-04-28,5937 Carter La,Townhouse Units,Maintenance/Repair,Bei Exterior Maint,,6740
MI303411,2026-04-28,5941 Carter La,Townhouse Units,Maintenance/Repair,Bei Exterior Maint,,6740
MI303412,2026-04-28,5945 Carter La,Townhouse Units,Maintenance/Repair,Bei Exterior Maint,,6740
MI303420,2026-04-28,5945 Carter La,Townhouse Units,Maintenance/Repair,Bei Exterior Maint,,6740
MI303225,2026-04-28,5508 Pompano Dr A306,Townhouse Units,Remodel/Alteration,GREAT LAKES WINDOW & SIDING CO,Bath Remodel,8000
MI303313,2026-04-27,2211 Pine Island Rd,Single Family,Maintenance/Repair,Minnesota Exteriors Inc,Re-roof home with IKO Nordic Shingles.,26838
MI303318,2026-04-27,4800 Barbara Dr,Single Family,Maintenance/Repair,Sky Armor Inc,Removing shingles on the main structure (house) & Detached shed. Installing Malarkey Vista Shingles,18797
MI303320,2026-04-27,4909 Royal Oaks Dr,Single Family,Maintenance/Repair,Jax Exteriors Llc,reroof,26093
MI303322,2026-04-27,4821 Royal Oaks Dr,Single Family,Maintenance/Repair,Jax Exteriors Llc,reroof,29973
MI303323,2026-04-27,5017 Highland Rd,Single Family,Maintenance/Repair,Legacy Restoration Llc,Tear off and re-roof 38 sq asphalt shingles for house,24588
MI303327,2026-04-27,14711 Williston Glen,Single Family,Maintenance/Repair,Amrg Llc,Complete tear off and reroof with asphalt shingles,21375
MI303328,2026-04-27,3244 Timberhill Ct,Single Family,Maintenance/Repair,Jlf Home Builders Inc,tearoff/reroof,49000
MI303329,2026-04-27,14777 Summer Oaks Dr,Single Family,Maintenance/Repair,Highmark Exteriors Llc,48 windows - no change to openings,90000
MI303330,2026-04-27,15403 Robinwood Dr,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,18275
MI303332,2026-04-27,3428 Leroy St,Single Family,Maintenance/Repair,STUEDEMAN CONSTRUCTION SERVICES,Tear LLC Off/Reroof,12000
MI303335,2026-04-27,14700 High Tower,Single Family,Maintenance/Repair,North Construction And Restorationllc,Remove & replace asphalt shingle roofing with new.,45000
MI303339,2026-04-27,15513 Sussex Dr,Single Family,Maintenance/Repair,Abc Exteriors Inc,"tear off shingles, re roof the house",16100
MI303340,2026-04-27,16609 Park La,Single Family,Maintenance/Repair,STREETER & ASSOCIATES INC.,Tear Off/Reroof,46365
MI303344,2026-04-27,12620 Bent Tree Rd,Single Family,Maintenance/Repair,Robert Kyker Construction Inc,"Replacing doors and windows in house and 1 window in garage, same size",203256
MI303347,2026-04-27,4233 Wilson St,Single Family,Maintenance/Repair,Estate Claim Services,Tear off and replace roof of dwelling,30000
MI303351,2026-04-27,4254 Manor Court Rd,Single Family,Maintenance/Repair,Poundstone Consulting,Replacement of 40 Windows & 1 Patio Door into existing openings no change in size.,96000
MI303353,2026-04-27,5052 Norman Dr,Single Family,Maintenance/Repair,Minnesota Restoration Contractors,Tear off and Re-roof the house,8925
MI303354,2026-04-27,4031 Victoria St,Single Family,Maintenance/Repair,Battle Brook Builders Llc,"Repair/Replace damaged fascia, window wraps",5200
MI303356,2026-04-27,12500 Lake St Extension,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,replace 8 windows and 2 doors like for like,35000
MI303358,2026-04-27,12500 Lake St Extension,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,reroof house and detached garage,12000
MI303359,2026-04-27,12500 Lake St Extension,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,Residing house and detached,27000
MI303361,2026-04-27,4626 White Oak Rd,Single Family,Maintenance/Repair,ERICK N KALLERUP CONSTRUCTION,Tear Off/Reroof,20000
MI303363,2026-04-27,12500 Lake St Extension,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,Flat roof only totaling 4.5 EPDM 60Mil,4800
MI303365,2026-04-27,912 Sunnyview La,Single Family,Maintenance/Repair,Twin Cities Siding Professionals Operating Co,Llc Residing residence with vinyl siding.,7600
MI303366,2026-04-27,4945 Westgate Rd,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,14450
MI303367,2026-04-27,18912 Hanus Rd,Single Family,Maintenance/Repair,Minnesota Exteriors Inc,Re-roof home and detached garage with IKO Dynasty Shingles.,25172
MI303368,2026-04-27,4508 Marlborough Ct,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,21675
MI303369,2026-04-27,4112 Tonkawood La,Single Family,Maintenance/Repair,Estate Claim Services,Tear off and replace roof of dwelling,18000
MI303372,2026-04-27,16401 Canterbury Dr,Single Family,Maintenance/Repair,Twin Cities Siding Professionals Operating Co,Llc Re-roof house and attached garage with new asphalt shingles,11200
MI303374,2026-04-27,3230 Highland Ave,Single Family,Maintenance/Repair,Archway Contracting Inc,re-roof,12000
MI303376,2026-04-27,16000 Adeline La,Single Family,Maintenance/Repair,Poundstone Consulting,Replacement Windows & a Patio Door,68061
MI301702,2026-04-27,2131 Portico Green,Single Family,Remodel/Alteration,LAKE COUNTRY HOMES LLC,deck and exterior door remodel,62000
MI301239,2026-04-24,14200 Wayzata Blvd C,Commercial/Ind,Remodel/Alteration,SCOTT SCHMIDT CONSTRUCTION LLC,Retro-fit space from prior business to new businessSUITE C,80000
MI303282,2026-04-24,13703 Excelsior Blvd,Single Family,Maintenance/Repair,New Life Contracting Inc,Remove and replace existing siding,17864
MI303283,2026-04-24,4136 Dvorak Rd,Single Family,Maintenance/Repair,Builders & Remodelers Inc,removing and residing house,19420
MI303288,2026-04-24,4620 Pleasantwood Rd,Single Family,Maintenance/Repair,Matthew Kane,Removal of old roof shingles and replacement with architectural shingles,8000
MI303289,2026-04-24,15117 Excelsior Blvd,Single Family,Maintenance/Repair,Giertsen Company,removing and replacing the roof on the south west lower elevation due to tree damage,6785
MI303293,2026-04-24,15975 Erickson La,Single Family,Maintenance/Repair,Minnesota Restoration Contractors,Tear off and Re-roof the house,6630
MI303295,2026-04-24,4237 Tonkawood Rd,Single Family,Maintenance/Repair,Proof Builders Co Llc,Reroof,13000
MI303296,2026-04-24,16614 Devon Dr,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,10200
MI303297,2026-04-24,16635 Canterbury Dr,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,13175
MI303299,2026-04-24,16605 Bywood La,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,13175
MI303301,2026-04-24,16967 Chiltern Hills Rd,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,14450
MI303302,2026-04-24,3811 Co Rd No 101,Single Family,Maintenance/Repair,Tonka Roofing,Remove existing roof and replace with asphalt shingles,12750
MI303304,2026-04-24,16209 Hidden Valley Rd,Single Family,Maintenance/Repair,The Kingdom Builders,re-roof home,17803
MI303306,2026-04-24,5632 Holiday Rd,Single Family,Maintenance/Repair,Blue Sky Chimney Sweeps,"Partial Chimney Rebuild above roofline, limestone overhanging crown, up/downstairs ss flue linersn",15000
MI303307,2026-04-24,12010 Hilloway Rd W,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 4 windows within existing openings.9,310",
MI302334,2026-04-24,17301 Creek Ridge Pass,Single Family,Remodel/Alteration,Anthony L Andersen,We will be rebuilding the stairs to our deck as they are rotting and falling apart.,5000
MI302525,2026-04-23,11100 Wayzata Blvd 580,Commercial/Ind,Tenant Finish,WESTIN CONSTRUCTION,"Tenant Vacancy Prep Spec Suite 301,990",580
MI302526,2026-04-23,11100 Wayzata Blvd 590,Commercial/Ind,Tenant Finish,WESTIN CONSTRUCTION,"Tenant Vacancy Prep Spec Suite 332,315",590
MI303236,2026-04-23,3515 Co Rd No 101,Single Family,Maintenance/Repair,Alfredo Alvarado,reroofing,6000
MI303239,2026-04-23,4907 Carleton Rd,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,reroof,9500
MI303245,2026-04-23,17022 Prospect Pl,Single Family,Maintenance/Repair,Smart Builders Group Inc,Tear off and reroof,8800
MI303246,2026-04-23,16406 Pine St,Single Family,Maintenance/Repair,Archway Contracting Inc,Re Roof,20000
MI303250,2026-04-23,16403 Pine St,Single Family,Maintenance/Repair,Archway Contracting Inc,Re Roof,30000
MI303253,2026-04-23,15489 Sussex Dr,Single Family,Maintenance/Repair,Summit Construction Group Ing,window replacement,35000
MI303254,2026-04-23,17603 Susan La,Single Family,Maintenance/Repair,Presidential Construction Inc,1 Window Replaced,1000
MI303255,2026-04-23,14436 Durham Rd,Single Family,Maintenance/Repair,Stinson Services Inc,Remove and Replace 40 Sq asphalt roofing,12000
MI303256,2026-04-23,3925 Victoria St,Single Family,Maintenance/Repair,Keyprime Inc,re-roof / remove old shingles and replace with new,14517
MI303257,2026-04-23,3820 Haven Rd,Single Family,Maintenance/Repair,MINNETONKA CONSTRUCTION,Complete Re-Roof,25367
MI303258,2026-04-23,4807 Caribou Dr,Single Family,Maintenance/Repair,Pure Co Roofing Llc,tear off and re roof,10169
MI303260,2026-04-23,3711 Arbor La S,Single Family,Maintenance/Repair,1st Team Exteriors,Remove and replace shingles,15500
MI303261,2026-04-23,17323 Bay Cir,Single Family,Maintenance/Repair,Twin Cities Roofing And Siding Llc,ReRoof Full House,13000
MI303262,2026-04-23,5301 Scenic Heights Dr,Single Family,Maintenance/Repair,Twin Cities Roofing And Siding Llc,ReRoof Full House,21000
MI303264,2026-04-23,14201 Brandbury Walk,Single Family,Maintenance/Repair,Storm Pro Exteriors Inc,re-roof 34sq asphalt shingles,22000
MI303266,2026-04-23,15000 Highland La,Single Family,Maintenance/Repair,1st Team Exteriors,Remove and replace shingles,25000
MI303267,2026-04-23,13711 Summit La,Single Family,Maintenance/Repair,Midwest Roofing Siding And Windows Llc,tear off re roof,18573
MI303268,2026-04-23,13711 Summit La,Single Family,Maintenance/Repair,Midwest Roofing Siding And Windows Llc,tear off re side,12138
MI303269,2026-04-23,16429 Norwood Dr,Single Family,Maintenance/Repair,Pure Co Roofing Llc,tear off and re roof,8449
MI303271,2026-04-23,3329 Highland Ave,Single Family,Maintenance/Repair,Four Seasons Builders,tear off and reside to code,19000
MI303277,2026-04-23,14941 Wellington Rd,Single Family,Maintenance/Repair,A-1 Restoration Llc,Tear off asphalt shingles on roof and replace with asphalt shingles.,26200
MI303279,2026-04-23,4824 Arlington Dr,Single Family,Maintenance/Repair,Bormann Bros Contracting Inc,"Roof. tear off asphalt shingles, and replaced with asphalt shingles",18851
MI296923,2026-04-23,14509 Woodhill Cir,Single Family,Remodel/Alteration,MISSION LUXURY HOMES,16 x 37 Deck,45000
MI302203,2026-04-23,12909 Burwell Dr,Single Family,Remodel/Alteration,Bernard Chadwick,Placement of 4 egress windows in 2 bedrooms through hollow block concrete wall,15000
MI303121,2026-04-23,1405 Yorkshire Ave S,Single Family,Remodel/Alteration,30-30 CONCRETE INC,Remove and replace concrete stoop entry and sidewalk,8260
MI303160,2026-04-23,4614 Chantrey Ct,Single Family,Remodel/Alteration,TRIDENT BATH AND SHOWER LLC,"Replacing 30""x60"" Tub And Surround With New 30""x60"" Shower Pan And Surround.",25200
MI303197,2026-04-23,12121 Robin Cir,Single Family,Remodel/Alteration,Brewer Built Llc Inc,Build new deck - same size and location,11000
MI303219,2026-04-23,6145 Chasewood Pkwy 206,Single Family,Remodel/Alteration,LEAF HOME ENCHANCEMENTS LLC,"Second floor tub to shower conversion, including mixing valve and trap.",14611
MI302694,2026-04-22,12811 Sherwood Pl 12,Commercial/Ind,Maintenance/Repair,PROFICIENT CONSTRUCTION LLC,"Deck resurface only, 27'x6'. Using Timbertech Terrain decking.",4000
MI302214,2026-04-22,401 Carlson Pkwy,Commercial/Ind,Tenant Finish,PRIME GENERAL CONTRACTORS LLC,Convert open office into prayer room,26700
MI302699,2026-04-22,12811 Sherwood Pl 11,Multi Family Apts/Condos,Maintenance/Repair,PROFICIENT CONSTRUCTION LLC,"Deck resurface only, 26.5'x6'. Using Timbertech Terrain decking.",3700
MI302685,2026-04-22,14601 Atrium Way 325,Multi Family Apts/Condos,Remodel/Alteration,STARS & STRIPES CONSTRUCTION LLC,"tub- shower conversion, remove fireplace and frame: Living room- flat, bedroom: closet,",12000
MI301852,2026-04-22,4968 Clear Spring Rd,Single Family,Addition,REFABED HOME LLC,"Two-story addition to include 2 LL bedrooms + bath, MF sun room, and patio. Note: Deck in Phase 2.",290000
MI303185,2026-04-22,5217 Westmill Rd,Single Family,Maintenance/Repair,Ruprecht Construction Company,re roof,19000
MI303188,2026-04-22,12601 Creek Rd W,Single Family,Maintenance/Repair,Handy Hom Services Llc,Tearoff/Reroof,40000
MI303190,2026-04-22,12601 Creek Rd W,Single Family,Maintenance/Repair,Handy Hom Services Llc,Re-side of Second Level,30000
MI303193,2026-04-22,4101 Wendover Ct,Single Family,Maintenance/Repair,Proof Builders Co Llc,Tear off/ Reroof,8000
MI303196,2026-04-22,3644 Shady Oak Rd,Single Family,Maintenance/Repair,KUEHN COMPANIES,Tear Off/Reroof,20000
MI303200,2026-04-22,3305 Shores Blvd,Single Family,Maintenance/Repair,Keystone Builders Inc,R&R roof,14500
MI303201,2026-04-22,13513 Mcginty Rd E,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,reroof house,13000
MI303202,2026-04-22,4423 Ellerdale Rd,Single Family,Maintenance/Repair,GREENGUARD CONSTRUCTION INC,Tear Off/Reroof,10500
MI303204,2026-04-22,5128 Lee Way,Single Family,Maintenance/Repair,GREENGUARD CONSTRUCTION INC,Tear Off/Reroof,12000
MI303205,2026-04-22,3404 Moorland Rd,Single Family,Maintenance/Repair,Honest Exteriors Llc,re roof house,12671
MI303206,2026-04-22,13513 Mcginty Rd E,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,replace 4 skylights like for like,4000
MI303207,2026-04-22,16009 Dawn Dr,Single Family,Maintenance/Repair,Legacy Restoration Llc,Tear off and re-roof 21 sq asphalt shingles for house,10218
MI303209,2026-04-22,16418 Gladys La,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc,reroof,23000
MI303210,2026-04-22,12001 Lake St Extension,Single Family,Maintenance/Repair,Midwest Roofing Siding And Windows Llc,tear off re roof house and attached garage,32395
MI303211,2026-04-22,4844 Carleton Rd,Single Family,Maintenance/Repair,Hector D Olvera,Tear Off/Reroof,16000
MI303218,2026-04-22,3436 Martha La,Single Family,Maintenance/Repair,Krech Exteriors Llc,re roof,16800
MI303233,2026-04-22,16912 Grays Bay Blvd,Single Family,Maintenance/Repair,Cortland Custom Homes,rerof house and garage,18233
MI303234,2026-04-22,3830 Cottage La,Single Family,Maintenance/Repair,Team Roofing And Remodeling Llc,Tear off and re-roof 38 SQ,20000
MI303214,2026-04-22,5924 Carter La,Townhouse Units,Maintenance/Repair,Bei Exterior Maint,,6740
MI303215,2026-04-22,5928 Carter La,Townhouse Units,Maintenance/Repair,Bei Exterior Maint,,6740
MI303216,2026-04-22,5932 Carter La,Townhouse Units,Maintenance/Repair,Bei Exterior Maint,,6740
MI303217,2026-04-22,5936 Carter La,Townhouse Units,Maintenance/Repair,Bei Exterior Maint,,6740
MI303220,2026-04-22,5115 Woodland Rd,Townhouse Units,Maintenance/Repair,Todays Exteriors Inc,,7600
MI303221,2026-04-22,5117 Woodland Rd,Townhouse Units,Maintenance/Repair,Todays Exteriors Inc,,7600
MI303130,2026-04-21,16311 Limerick La,Single Family,Maintenance/Repair,Pudas Construction,Removing cedar shakes and replacing with brava composite shingles,99000
MI303132,2026-04-21,15845 Sunset Rd,Single Family,Maintenance/Repair,Northern Hideaway Homes,Tear off and Reroof Main Dwelling 27sq,28184
MI303140,2026-04-21,4031 Thomas Ave,Single Family,Maintenance/Repair,Professional Exteriors Inc,"Remove existing asphalt shingles, install new asphalt shingles",17378
MI303141,2026-04-21,16509 Elm Cir,Single Family,Maintenance/Repair,Level Edge Construction,Tear-off and reroof the house and attached garage,18000
MI303142,2026-04-21,11939 Hilloway Rd W,Single Family,Maintenance/Repair,Summit Construction Group Ing,re-roof,10000
MI303143,2026-04-21,4120 Auburn Dr,Single Family,Maintenance/Repair,Keystone Builders Inc,R&R Roof,30000
MI303144,2026-04-21,14715 High Tower,Single Family,Maintenance/Repair,Weh Construction Llc,9 Windows going into existing openings. No alterations to R.O.s,33510
MI303147,2026-04-21,12411 Huntingdon La,Single Family,Maintenance/Repair,Platinum Builders Llp,ReRoof,15000
MI303148,2026-04-21,16330 Gladys La,Single Family,Maintenance/Repair,First Impression Exteriors Inc,Replace 8 windows and 1 door in same openings.,20000
